bat_landing_to_food,rat_present
16.0,1
0.074015603,1
4.0,1
10.0,1
15.0,1
24.0,1
13.0,1
15.0,1
6.0,1
3.0,1
5.0,1
6.0,1
10.0,1
1.0,1
2.0,1
5.0,1
1.0,1
1.0,1
2.0,1
26.0,1
5.0,1
15.0,1
24.0,1
2.0,1
2.0,1
1.0,1
0.049410419,1
1.0,1
6.0,1
3.0,1
8.0,1
31.0,1
0.010695699,1
2.0,1
1.0,1
9.0,1
6.0,1
11.0,1
2.0,1
3.0,1
1.0,1
4.0,1
1.0,1
1.0,1
1.0,1
0.035319187,1
1.0,1
7.0,1
1.0,1
0.034803066,1
1.0,1
1.0,1
2.0,1
1.0,1
4.0,1
4.0,1
3.0,1
22.0,1
1.0,1
2.0,1
1.0,1
3.0,1
4.0,1
3.0,1
0.089216347,1
2.0,1
0.041390374,1
0.090143902,1
20.0,1
2.0,1
7.0,1
21.0,1
4.0,1
2.0,1
7.0,1
1.0,1
14.0,1
8.0,1
1.0,1
6.0,1
1.0,1
7.0,1
4.0,1
4.0,1
0.035867953,1
2.0,1
1.0,1
3.0,1
1.0,1
17.0,1
1.0,1
1.0,1
21.0,1
9.0,1
1.0,1
3.0,1
1.0,1
2.0,1
4.0,1
2.0,1
1.0,1
2.0,1
9.0,1
0.061201372,1
1.0,1
31.0,1
1.0,1
0.050105814,1
1.0,1
0.085595674,1
6.0,1
6.0,1
1.0,1
3.0,1
155.0,1
1.0,1
1.0,1
29.0,1
4.0,1
1.0,1
1.0,1
6.0,1
2.0,1
16.0,1
2.0,1
1.0,1
0.07570842,1
0.057540536,1
3.0,1
5.0,1
1.0,1
2.0,1
1.0,1
6.0,1
4.0,1
13.0,1
1.0,1
2.0,1
1.0,1
1.0,1
5.0,1
0.04438061,1
3.0,1
1.0,1
6.0,1
24.0,1
0.097399911,1
2.0,1
1.0,1
2.0,1
0.050211363,1
3.0,1
2.0,1
1.0,1
2.0,1
4.0,1
0.046019395,1
9.0,1
18.0,1
14.0,1
2.0,1
3.0,1
12.0,1
15.0,1
2.0,1
34.0,1
11.0,1
0.013008356,1
2.0,1
2.0,1
0.028276798,1
4.0,1
2.0,1
25.0,1
3.0,1
1.0,1
0.064154735,1
10.0,1
8.0,1
2.0,1
6.0,1
2.0,1
0.030293066,1
7.0,1
6.0,1
18.0,1
17.0,1
1.0,1
6.0,1
2.0,1
1.0,1
11.0,1
3.0,1
25.0,1
6.0,1
3.0,1
11.0,1
15.0,1
6.0,1
0.069936967,1
1.0,1
1.0,1
4.0,1
0.036982956,1
1.0,1
2.0,1
4.0,1
3.0,1
2.0,1
19.0,1
3.0,1
6.0,1
1.0,1
9.0,1
23.0,1
1.0,1
155.0,1
3.0,1
3.0,1
2.0,1
2.0,1
9.0,1
4.0,1
5.0,1
4.0,1
1.0,1
48.0,1
3.0,1
0.010238211,1
2.0,1
2.0,1
3.0,1
4.0,1
22.0,1
2.0,1
2.0,1
2.0,1
59.0,1
4.0,1
1.0,1
14.0,1
1.0,1
0.04722604,1
0.022571773,1
68.0,1
6.0,1
2.0,1
8.0,1
5.0,1
2.0,1
15.0,1
4.0,1
15.0,1
18.0,1
3.0,1
13.0,1
14.0,1
10.0,1
1.0,1
7.0,1
3.0,1
1.0,1
23.0,1
0.078814418,1
1.0,1
4.0,1
5.0,1
3.0,1
2.0,1
55.0,1
3.0,1
3.0,1
1.0,1
65.0,1
275.0,1
2.0,1
2.0,1
1.0,1
18.0,1
0.028315379,1
6.0,1
9.0,1
2.0,1
8.0,1
6.0,1
6.0,1
0.039556377,1
7.0,1
4.0,1
0.02018894,1
47.0,1
35.0,1
13.0,1
12.0,1
20.0,1
9.0,1
21.0,1
1.0,1
6.0,1
15.0,1
3.0,1
8.0,1
10.0,1
15.0,1
26.0,1
2.0,1
0.050962883,1
5.0,1
3.0,1
13.0,1
3.0,1
0.09619989,1
0.063771569,1
0.081091814,1
2.0,1
0.090564496,1
2.0,1
14.0,1
0.032779517,1
10.0,1
22.0,1
0.068238813,1
11.0,1
1.0,1
2.0,1
0.042707344,1
13.0,1
0.043905767,1
1.0,1
0.076705397,1
0.040958086,1
0.056999457,1
0.099530937,1
0.014419381,1
3.0,1
5.0,1
0.040564984,1
16.0,1
1.0,1
0.044489486,1
2.0,1
54.0,1
1.0,1
3.0,1
22.0,1
0.051207358,1
1.0,1
1.0,1
5.0,1
0.039785341,1
176.0,1
3.0,1
2.0,1
4.0,1
237.0,1
1.0,1
12.0,1
39.0,1
14.0,1
5.0,1
0.016181067,1
29.0,1
3.0,1
18.0,1
11.0,1
1.0,1
0.093784466,1
0.019265878,1
1.0,1
6.0,1
10.0,1
0.058920205,1
0.024862202,1
1.0,1
10.0,1
1.0,1
1.0,1
0.014004332,1
7.0,1
7.0,1
3.0,1
6.0,1
1.0,1
4.0,1
5.0,1
26.0,1
4.0,1
4.0,1
10.0,1
10.0,1
2.0,1
1.0,1
3.0,1
3.0,1
73.0,1
3.0,1
0.068554286,1
3.0,1
4.0,1
1.0,1
20.0,1
9.0,1
54.0,1
1.0,1
25.0,1
14.0,1
8.0,1
6.0,1
26.0,1
6.0,1
24.0,1
1.0,1
19.0,1
3.0,1
6.0,1
1.0,1
7.0,1
1.0,1
16.0,1
11.0,1
18.0,1
2.0,1
2.0,1
1.0,1
7.0,1
6.0,1
5.0,1
2.0,1
23.0,1
13.0,1
71.0,1
2.0,1
1.0,1
0.025345863,1
0.096196,1
0.063701466,1
0.094784549,1
0.076254237,1
0.014184241,1
9.0,1
28.0,1
1.0,1
5.0,1
0.047647063,1
0.090449811,1
3.0,1
14.0,1
17.0,1
20.0,1
0.099179779,1
11.0,1
2.0,1
0.043720185,1
0.019372407,1
174.0,1
2.0,1
6.0,1
5.0,1
3.0,1
0.069546705,1
0.035887407,1
5.0,1
6.0,1
0.087634798,1
3.0,1
0.038141769,1
0.09694048,1
2.0,1
2.0,1
4.0,1
5.0,1
3.0,1
5.0,1
0.020820512,1
9.0,1
1.0,1
21.0,1
4.0,1
1.0,1
31.0,1
6.0,1
2.0,1
0.071250736,1
4.0,1
7.0,1
3.0,1
0.083007044,1
0.014550835,1
72.0,1
2.0,1
12.0,1
0.025349973,1
0.094601342,1
26.0,1
0.044300625,1
0.09536188,1
0.091074825,1
2.0,1
1.0,1
80.0,1
67.0,1
1.0,1
2.0,1
105.0,1
0.017597713,1
0.032534418,1
4.0,1
14.0,1
20.0,1
2.0,1
36.0,1
8.0,1
0.097800752,1
0.063312201,1
18.0,1
2.0,1
5.0,1
0.078489345,1
22.0,1
46.0,1
9.0,1
4.0,1
0.085746166,1
4.0,1
0.040027684,1
0.076567662,1
0.072746343,1
0.055695432,1
33.0,1
39.0,1
3.0,1
0.094277126,1
1.0,1
0.019462583,1
7.0,1
0.037865482,1
4.0,1
0.037828205,1
22.0,1
0.099086619,1
0.033212611,1
0.096084094,1
7.0,1
6.0,1
5.0,1
8.0,1
5.0,1
17.0,1
1.0,1
2.0,1
31.0,1
1.0,1
2.0,1
5.0,1
13.0,1
15.0,1
1.0,1
3.0,1
2.0,1
6.0,1
11.0,1
3.0,1
6.0,1
5.0,1
5.0,1
2.0,1
4.0,1
1.0,1
7.0,1
6.0,1
5.0,1
18.0,1
3.0,1
10.0,1
1.0,1
0.063724824,1
5.0,1
6.0,1
15.0,1
4.0,1
5.0,1
0.026148246,1
7.0,1
7.0,1
0.08833199,1
8.0,1
28.0,1
6.0,1
15.0,1
2.0,1
3.0,1
3.0,1
17.0,1
1.0,1
3.0,1
0.032185829,1
1.0,1
12.0,1
7.0,1
3.0,1
8.0,1
1.0,1
5.0,1
14.0,1
0.084689878,1
0.093387578,1
0.029003504,1
9.0,1
1.0,1
2.0,1
2.0,1
50.0,1
150.0,1
6.0,1
11.0,1
13.0,1
32.0,1
36.0,1
164.0,1
4.0,1
9.0,1
12.0,1
11.0,1
2.0,1
0.052214843,1
1.0,1
5.0,1
2.0,1
7.0,1
2.0,1
5.0,1
4.0,1
4.0,1
16.0,1
1.0,1
2.0,1
3.0,1
4.0,1
30.0,1
28.0,1
2.0,1
27.0,1
5.0,1
1.0,1
5.0,1
0.039481249,1
118.0,1
37.0,1
109.0,1
2.0,1
25.0,1
37.0,1
2.0,1
1.0,1
28.0,1
2.0,1
0.071239584,1
11.0,1
5.0,1
0.033235649,1
3.0,1
15.0,1
1.0,1
1.0,1
17.0,1
0.0502264,1
4.0,1
1.0,1
0.057320093,1
2.0,1
2.0,1
1.0,1
6.0,1
4.0,1
17.0,1
41.0,1
4.0,1
5.0,1
10.0,1
23.0,1
2.0,1
5.0,1
42.0,1
10.0,1
2.0,1
30.0,1
50.0,1
31.0,1
3.0,1
2.0,1
1.0,1
4.0,1
5.0,1
21.0,1
7.0,1
23.0,1
1.0,1
8.0,1
8.0,1
4.0,1
1.0,1
1.0,1
1.0,1
1.0,1
4.0,1
23.0,1
10.0,1
2.0,1
19.0,1
1.0,1
106.0,1
2.0,1
6.0,1
5.0,1
20.0,1
22.0,1
7.0,1
4.0,1
2.0,1
5.0,1
0.010871342,1
4.0,1
6.0,1
30.0,1
1.0,1
23.0,1
0.019932178,1
22.0,1
443.0,1
7.0,1
4.0,1
2.0,1
7.0,1
5.0,1
3.0,1
3.0,1
44.0,1
4.0,1
1.0,1
7.0,1
24.0,1
22.0,1
2.0,1
21.0,1
8.0,1
8.0,1
10.0,1
1.0,1
9.0,1
4.0,1
3.0,1
1.0,1
11.0,1
34.0,1
16.0,1
0.068724243,1
1.0,1
83.0,1
0.062303811,1
31.0,1
16.0,1
8.0,1
35.0,1
26.0,1
43.0,1
1.0,1
34.0,1
7.0,1
14.0,1
36.0,1
4.0,1
19.0,1
4.0,1
14.0,1
29.0,1
0.095162728,1
82.0,1
3.0,1
0.042360901,1
2.0,1
3.0,1
2.0,1
8.0,1
104.0,1
4.0,1
30.0,1
18.0,1
2.0,1
8.0,1
52.0,1
2.0,1
4.0,1
7.0,1
4.0,1
19.0,1
1.0,1
5.0,1
2.0,1
13.0,1
61.0,1
1.0,1
40.0,1
8.0,1
81.0,1
26.0,1
4.0,1
14.0,1
6.0,1
3.0,1
1.0,1
1.0,1
18.0,1
1.0,1
4.0,1
29.0,1
1.0,1
16.0,1
2.0,1
1.0,1
56.0,1
13.0,1
1.0,1
1.0,1
20.0,1
14.0,1
15.0,1
23.0,1
1.0,1
1.0,1
3.0,1
16.0,1
27.0,1
0.092315438,1
16.0,1
5.0,1
12.0,1
1.0,1
1.0,1
2.0,1
12.0,1
1.0,1
3.0,1
50.0,1
1.0,1
37.0,1
1.0,1
5.0,1
8.0,1
19.0,1
0.060691217,1
0.0892831,1
11.0,1
18.0,1
6.0,1
6.0,1
10.0,1
17.0,1
33.0,1
8.0,1
1.0,1
16.0,1
195.0,1
14.0,1
19.0,1
2.0,1
46.0,1
2.0,1
1.0,1
1.0,1
18.0,1
35.0,1
38.0,1
1.0,1
39.0,1
4.0,1
2.0,1
0.042337019,1
23.0,1
22.0,1
29.0,1
28.0,1
5.0,1
18.0,1
20.0,1
0.018395555,1
4.0,1
11.0,1
4.0,1
10.0,1
36.0,1
10.0,1
76.0,1
1.0,1
5.0,1
67.0,1
45.0,1
0.062233499,1
6.0,1
8.0,1
5.0,1
8.0,1
4.0,1
2.0,1
1.0,1
22.0,1
2.0,1
120.0,1
